id,user_agent,times_seen,simple_software_string,simple_sub_description_string,simple_operating_platform_string,software,software_name,software_name_code,software_version,software_version_full,operating_system,operating_system_name,operating_system_name_code,operating_system_version,operating_system_version_full,operating_system_flavour,operating_system_flavour_code,operating_system_frameworks,operating_platform,operating_platform_code,operating_platform_vendor_name,software_type,software_sub_type,software_type_specific,hardware_type,hardware_sub_type,hardware_sub_sub_type,hardware_type_specific,layout_engine_name,layout_engine_version,extra_info,extra_info_dict,capabilities,detected_addons,first_seen_at,last_seen_at,updated_at
1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36",1390,Chrome 44 on Mac OS X (Yosemite),,,Chrome 44,Chrome,chrome,44,44.0.2403.155,Mac OS X (Yosemite),Mac OS X,mac-os-x,Yosemite,10.10.4,,,[],,,,browser,web-browser,,computer,,,,Blink,[],{},{},[],[],2015-08-12 18:35:06.000000,2019-07-25 00:00:00.000000,NULL
2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/8.0.7 Safari/600.7.12",35624,Safari 8 on Mac OS X (Yosemite),,,Safari 8,Safari,safari,8,8.0.7,Mac OS X (Yosemite),Mac OS X,mac-os-x,Yosemite,10.10.4,,,[],,,,browser,web-browser,,computer,,,,WebKit,"[""600"", ""7"", ""12""]",{},{},[],[],2015-07-01 13:54:15.000000,2019-07-23 00:00:00.000000,NULL
5,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",22936,Chrome 42 on Linux,,,Chrome 42,Chrome,chrome,42,42.0.2311.135,Linux,Linux,linux,,,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""X11 Window System""]}","{""Hardware Architecture"": ""x64""}",[],[],2015-04-30 11:37:10.000000,2019-07-22 04:00:27.922570,NULL
6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9",62347,Safari 8 on Mac OS X (Yosemite),,,Safari 8,Safari,safari,8,8.0.8,Mac OS X (Yosemite),Mac OS X,mac-os-x,Yosemite,10.10.5,,,[],,,,browser,web-browser,,computer,,,,WebKit,"[""600"", ""8"", ""9""]",{},{},[],[],2015-08-15 06:30:23.000000,2019-07-26 10:00:04.301989,NULL
7,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/44.0.2403.67 Mobile/12D508 Safari/600.1.4",36,Chrome 44 on iOS 8.2,,Apple iPhone,Chrome 44,Chrome,chrome,44,44.0.2403.67,iOS 8.2,iOS,ios,8.2,8.2,,,[],iPhone,,Apple,browser,web-browser,,mobile,phone,,,WebKit,"[""600"", ""1"", ""4""]",{},"{""Mobile Build"": ""12D508""}",[],[],2016-03-13 12:03:26.000000,2019-07-14 00:00:00.000000,NULL
8,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36",9965,Chrome 44 on Windows 7,,,Chrome 44,Chrome,chrome,44,44.0.2403.155,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""Possibly running on Windows Server 2008 R2"", ""32 bit compatibility layer""]}",{},[],[],2015-08-12 13:20:40.000000,2019-07-12 00:00:00.000000,NULL
9,Mozilla/5.0 (Windows NT 6.1; rv:38.0) Gecko/20100101 Firefox/38.0,47113,Firefox 38 on Windows 7,,,Firefox 38,Firefox,firefox,38,38.0,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Gecko,"[""20100101""]","{""20"": [""Possibly running on Windows Server 2008 R2""]}",{},[],[],2015-04-07 15:45:21.000000,2019-07-27 00:00:00.000000,NULL
10,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2049.0 Safari/537.36",8347,Chrome 37 on Windows 8.1,,,Chrome 37,Chrome,chrome,37,37.0.2049.0,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""64-bit Edition""]}","{""Hardware Architecture"": ""64-bit processor (AMD)""}",[],[],2014-08-16 21:52:42.000000,2019-07-18 00:00:00.000000,NULL
11,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240",8142,Edge 20 on Windows 10,,,Edge 20,Edge,edge,20,20.10240,Windows 10,Windows,windows,10,NT 10.0,,,[],,,,browser,web-browser,,computer,,,,EdgeHTML,"[""12"", ""10240""]",{},{},[],[],2015-08-01 16:28:04.000000,2019-07-26 00:00:00.000000,NULL
12,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.65 Safari/537.36",7680,Chrome 43 on Windows 8,,,Chrome 43,Chrome,chrome,43,43.0.2357.65,Windows 8,Windows,windows,8,NT 6.2,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""32 bit compatibility layer""]}",{},[],[],2015-05-22 16:01:40.000000,2019-06-27 06:21:05.000000,NULL
13,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/42.0 Safari/537.31",43,Chrome 42 on Linux,,,Chrome 42,Chrome,chrome,42,42.0,Linux,Linux,linux,,,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""X11 Window System""]}","{""Hardware Architecture"": ""x64""}",[],[],2015-03-26 13:34:12.000000,2019-06-27 06:21:05.000000,NULL
14,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0,78704,Firefox 39 on Windows 8.1,,,Firefox 39,Firefox,firefox,39,39.0,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,,browser,web-browser,,computer,,,,Gecko,"[""20100101""]","{""20"": [""32 bit compatibility layer""]}",{},[],[],2015-07-03 11:01:56.000000,2019-06-29 17:00:35.103215,NULL
15,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),379623,Internet Explorer 9 on Windows 7,,,Internet Explorer 9,Internet Explorer,internet-explorer,9,9,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""5"", ""0""]","{""20"": [""Possibly running on Windows Server 2008 R2"", ""32 bit compatibility layer""]}",{},[],[],2010-09-19 16:20:40.000000,2019-07-27 00:00:00.000000,NULL
16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10",174065,Safari 5.1 on Mac OS X (Snow Leopard),,,Safari 5.1,Safari,safari,5.1,5.1.9,Mac OS X (Snow Leopard),Mac OS X,mac-os-x,Snow Leopard,10.6.8,,,[],,,,browser,web-browser,,computer,,,,WebKit,"[""534"", ""59"", ""10""]",{},{},[],[],2013-09-20 15:38:09.000000,2019-07-27 14:00:19.868130,NULL
17,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),1870757,Yahoo! Slurp Web Crawler Bot,,,Yahoo! Slurp Web Crawler Bot,Yahoo! Slurp Web Crawler Bot,yahoo-slurp-web-crawler-bot,,,,,,,,,,[],,,,bot,crawler,,server,,,,,[],{},{},[],[],2004-03-02 02:30:58.000000,2019-07-24 20:00:04.355558,NULL
